City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,alice springs,-23.7,133.8833,28.75,37,100,4.12,AU,1700953287
304,san patricio,28.017,-97.5169,21.05,80,100,6.02,US,1700953187
305,mukalla,14.5425,49.1242,24.93,76,45,1.48,YE,1700953288
306,sechura,-5.5569,-80.8222,23.12,64,51,8.17,PE,1700953288
307,al wakrah,24.85,51.3333,21.05,73,84,3.08,QA,1700953289
308,rudnichnyy,59.617,52.4703,-16.5,100,97,1.03,RU,1700953289
309,dudinka,69.4058,86.1778,-27.6,100,30,2.08,RU,1700953290
310,anuradhapura,8.3565,80.4173,23.0,97,24,2.05,LK,1700953290
311,sabang,5.8933,95.3214,26.51,78,100,1.62,ID,1700953291
312,susuman,62.7833,148.1667,-25.02,99,100,2.4,RU,1700953291
313,al mahwit,15.4701,43.5448,15.1,67,10,0.94,YE,1700953291
314,rio grande,-32.035,-52.0986,20.06,75,31,5.0,BR,1700952717
315,mandalgovi,45.7625,106.2708,-8.95,78,99,4.31,MN,1700953293
316,thurgoona,-36.0451,146.9919,23.14,100,6,3.23,AU,1700953293
317,kirkwall,58.9848,-2.9587,5.03,81,100,1.03,GB,1700953293
318,matane,48.8286,-67.522,-4.21,77,85,7.56,CA,1700953282
319,tshabong,-26.05,22.45,28.78,36,16,4.63,BW,1700953294
320,ermoupolis,37.4423,24.9425,19.39,39,15,14.4,GR,1700953294
321,karasburg,-28.0167,18.75,22.19,18,1,3.41,NA,1700953295
322,khandyga,62.6667,135.6,-41.36,100,98,0.21,RU,1700953295
323,lewistown,40.5992,-77.5714,2.88,81,0,0.0,US,1700953296
324,bonnyville,54.2668,-110.735,-0.38,60,35,4.83,CA,1700953213
325,pisco,-13.7,-76.2167,21.03,73,0,7.2,PE,1700953296
326,brookings,44.3114,-96.7984,-4.79,84,100,4.12,US,1700953268
327,mediesu aurit,47.7833,23.15,0.97,79,100,2.66,RO,1700953297
328,leh,34.1667,77.5833,-1.9,35,81,0.99,IN,1700953297
329,chubek,37.6137,69.7061,11.04,28,100,0.26,TJ,1700953298
330,santa rosa de rio primero,-31.1523,-63.4019,23.03,50,74,3.95,AR,1700952709
331,trinidad,-14.8333,-64.9,28.99,70,40,2.06,BO,1700953298
332,sao raimundo nonato,-9.0153,-42.6994,29.2,33,24,1.64,BR,1700953298
333,jayapura,-2.5333,140.7,26.66,83,93,0.99,ID,1700953299
334,masterton,-40.9597,175.6575,17.16,56,89,3.65,NZ,1700953299
335,afif,23.9065,42.9172,22.23,52,91,3.64,SA,1700953300
336,esil,51.9556,66.4042,0.49,87,98,6.96,KZ,1700953300
337,aljezur,37.3191,-8.8033,12.23,86,14,2.28,PT,1700953300
338,zhezqazghan,47.7833,67.7667,-0.14,56,100,3.35,KZ,1700953301
339,krasnozerskoye,53.9828,79.2374,-3.04,96,96,4.56,RU,1700953301
340,levuka,50.1834,-105.4011,-0.1,92,100,9.22,CA,1700953301
341,new norfolk,-42.7826,147.0587,14.72,97,100,2.24,AU,1700953302
342,bowen,-20.0167,148.2333,26.23,71,100,4.04,AU,1700953302
343,klyuchi,52.2667,79.1667,0.68,55,97,4.87,RU,1700953302
344,merizo village,13.2658,144.6691,29.43,87,17,8.19,GU,1700953303
345,sorong,-0.8833,131.25,27.79,82,100,4.01,ID,1700953180
346,iskateley,67.6803,53.1512,-21.6,99,78,2.06,RU,1700953186
347,ostersund,63.1792,14.6357,-10.75,85,54,2.57,SE,1700953268
348,lompoc,34.6391,-120.4579,20.29,49,0,4.12,US,1700953304
349,nova sintra,14.8667,-24.7167,22.29,73,23,9.58,CV,1700953304
350,palembang,-2.9167,104.7458,25.05,94,40,0.0,ID,1700953306
351,lebu,-37.6167,-73.65,12.17,86,15,8.16,CL,1700953159
352,altay,47.8667,88.1167,-5.82,74,67,3.0,CN,1700953306
353,jalai nur,49.45,117.7,-24.09,100,91,1.05,CN,1700953306
354,tazacorte,28.629,-17.9293,20.54,76,100,3.09,ES,1700953307
355,molde,62.7375,7.1591,1.91,100,100,3.09,NO,1700953307
356,shalqar,47.8333,59.6,0.69,81,100,4.44,KZ,1700953307
357,bryan,30.6744,-96.37,16.58,61,100,4.12,US,1700953152
358,bijie,27.3125,105.2942,10.68,89,100,1.3,CN,1700953308
359,mersa matruh,31.3525,27.2453,18.11,39,0,5.14,EG,1700953308
360,bubaque,11.2833,-15.8333,28.2,47,0,4.44,GW,1700953309
361,pandan,14.0453,124.1694,26.64,86,52,5.1,PH,1700953174
362,palmer,42.1584,-72.3287,0.47,53,20,1.54,US,1700953263
